"Day","Gross sales","Net sales","Discounts","Returns","Taxes","Shipping charges","Total sales","Day (previous_year)","Gross sales (previous_year)","Net sales (previous_year)","Discounts (previous_year)","Returns (previous_year)","Taxes (previous_year)","Shipping charges (previous_year)","Total sales (previous_year)","Gross sales (previous_year) ","Net sales (previous_year) ","Discounts (previous_year) ","Returns (previous_year) ","Taxes (previous_year) ","Shipping charges (previous_year) ","Total sales (previous_year) "
"2025-10-13",9682.27,9682.27,0,0,1007.09,243.28,10932.64,"2024-10-13",24104.16,22774.56,-50.7,-1278.9,1938.8,64.55,24777.91,-59.831,-57.486,100,100,-48.056,276.886,-55.877
"2025-10-14",25782.23,18761.64,-736.3,-6284.29,2183.17,349.01,21293.82,"2024-10-14",12532.85,12373.95,-158.9,0,1136.85,50,13560.8,105.717,51.622,-363.373,,92.036,598.02,57.024
"2025-10-15",30213.41,18902.15,-114,-11197.26,2025.78,220.45,21160.56,"2024-10-15",30467.9,19285.23,-110.4,-11072.27,2454.28,96.53,21836.04,-0.835,-1.986,-3.26,-1.128,-17.459,128.374,-3.093
"2025-10-16",41114.2,31104.63,-72.8,-9936.77,3364.25,90,34704.78,"2024-10-16",39974.29,34269.16,-51.75,-5653.38,3246.68,66.54,37582.38,2.851,-9.234,-40.676,-75.766,3.621,35.256,-7.656
"2025-10-17",45355.34,38032.22,-49.6,-7273.52,4435.42,538.8,43093.3,"2024-10-17",32870.28,25287.63,-804.76,-6777.89,2188.68,45,27521.31,37.982,50.398,93.836,-7.312,102.652,1097.333,56.581
"2025-10-18",31499.6,29686.6,0,-1813,3534.15,75,33295.75,"2024-10-18",27509.21,22980.39,-418.3,-4110.52,2439.89,76.56,25496.84,14.505,29.182,100,55.893,44.848,-2.037,30.587
"2025-10-19",27516.44,26139.69,-49.75,-1327,3030.27,284.75,29454.71,"2024-10-19",23303.92,21409.94,-145.58,-1748.4,2166.01,48.12,23624.07,18.076,22.091,65.826,24.102,39.901,491.749,24.68
"2025-10-20",35214.93,23527.11,-710.25,-10977.57,2605.13,155.14,26447.38,"2024-10-20",20000.6,18599.3,-18.4,-1382.9,1836.68,61.56,20497.54,76.069,26.494,-3760.054,-693.807,41.839,152.014,29.027
"2025-10-21",36791.8,31993.7,-124,-4674.1,3690.8,45,35748.46,"2024-10-21",30367.75,21793.57,-363.9,-8210.28,2163.62,43.44,24000.63,21.154,46.803,65.924,43.07,70.584,3.591,48.948
"2025-10-22",49600.59,47531.34,-104.75,-1964.5,5404.99,279.86,53216.19,"2024-10-22",22590.89,14848.06,-152.8,-7590.03,1523.35,91.58,16462.99,119.56,220.118,31.446,74.117,254.809,205.59,223.247
"2025-10-23",33773.22,10197.81,-45.98,-23529.43,1120.03,823.6,12582.61,"2024-10-23",36903.13,29055.84,-159.42,-7687.87,2557.07,245,31857.91,-8.481,-64.902,71.157,-206.059,-56.198,236.163,-60.503
"2025-10-24",52463.98,32168.83,-5709.8,-14585.35,3327.08,2107.14,37827.68,"2024-10-24",34373.62,23658.12,-531.79,-10183.71,2537.5,46.63,26242.25,52.628,35.973,-973.694,-43.222,31.116,4418.85,44.148
"2025-10-25",38631.86,31485.78,-2642.08,-4504,3629.8,248.66,35364.24,"2024-10-25",36654.49,31689.78,-177.5,-4787.21,3453.56,111.63,35254.97,5.394,-0.643,-1388.495,5.915,5.103,122.753,0.309
"2025-10-26",25282.9,21463.4,-619.9,-3199.6,2275.91,60,23799.31,"2024-10-26",53647.2,50606.05,-71.15,-2970,5080.42,175,55861.47,-52.871,-57.587,-771.257,-7.73,-55.202,-65.714,-57.395
"2025-10-27",32821.46,23751.2,-2928.25,-6142.01,2550.52,198.4,26512.37,"2024-10-27",36032.1,33753,-466.1,-1813,3386.1,161.67,37300.77,-8.91,-29.632,-528.245,-238.776,-24.676,22.719,-28.922
"2025-10-28",30313.9,10124.42,-1766.3,-18423.18,1361.42,30,12112.55,"2024-10-28",26046.14,17799.27,-11,-8235.87,1580,23.35,19402.62,16.385,-43.118,-15957.272,-123.694,-13.834,28.479,-37.572
"2025-10-29",55017.43,43641.8,-333.2,-11042.43,4683.51,907.47,49417.18,"2024-10-29",46090.43,37553.88,-291.2,-8245.35,3632.68,356.52,41543.08,19.368,16.211,-14.423,-33.923,28.927,154.535,18.954
"2025-10-30",27741.09,19420.71,-1182,-7138.38,2013.08,623.56,22216.44,"2024-10-30",50040.63,40827.11,-11.6,-9201.92,3996.44,125,44948.55,-44.562,-52.431,-10089.655,22.425,-49.628,398.848,-50.573
"2025-10-31",40410.44,31914.92,-291.85,-8203.67,3511.83,1199.71,36773.94,"2024-10-31",29724.3,23172.35,-261.43,-6290.52,2567.64,120,25859.99,35.95,37.728,-11.636,-30.413,36.772,899.758,42.203
"2025-11-01",51689.09,47888.39,-123,-3677.7,5041.33,829.07,53758.79,"2024-11-01",39246.11,31564.66,-285.94,-7395.51,3162.99,300,35027.65,31.705,51.715,56.983,50.271,59.384,176.356,53.475
"2025-11-02",35722.78,33798.98,-39.8,-1884,3524.9,257.93,37581.81,"2024-11-02",44521.45,41121.93,-113.8,-3285.72,4238.54,100,45460.47,-19.762,-17.807,65.026,42.66,-16.836,157.93,-17.33
"2025-11-03",34395.88,23410.19,-79.7,-10905.99,2821.9,244.18,26762.23,"2024-11-03",42198.4,40296.57,-93.83,-1808,3882.46,60,44239.03,-18.49,-41.905,15.059,-503.207,-27.316,306.966,-39.505
"2025-11-04",81634.52,67291,-327.8,-14015.72,7196.38,971.38,75656.85,"2024-11-04",23888.12,18412.32,-136.35,-5339.45,1822.8,141.68,20376.8,241.736,265.467,-140.41,-162.493,294.798,585.615,271.289
"2025-11-05",61408.27,53626.64,-122.6,-7659.03,5899.13,113.6,59791.18,"2024-11-05",36663.34,25989.49,-70.4,-10603.45,2309.73,85.74,28384.96,67.492,106.339,-74.147,27.768,155.403,32.493,110.643
