"Day","Online store visitors","Sessions","Bounce rate","Average session duration","Checkout conversion rate","Completed checkout rate","Conversion rate","Pageviews","Reached checkout rate","Day (previous_period)","Online store visitors (previous_period)","Sessions (previous_period)","Bounce rate (previous_period)","Average session duration (previous_period)","Checkout conversion rate (previous_period)","Completed checkout rate (previous_period)","Conversion rate (previous_period)","Pageviews (previous_period)","Reached checkout rate (previous_period)","Online store visitors (previous_period) ","Sessions (previous_period) ","Bounce rate (previous_period) ","Average session duration (previous_period) ","Checkout conversion rate (previous_period) ","Completed checkout rate (previous_period) ","Conversion rate (previous_period) ","Pageviews (previous_period) ","Reached checkout rate (previous_period) "
"2025-09-17",5525,7418,0.38999730385548664,305.9928552170396,0.8142857142857143,0.8187919463087249,0.03842005931517929,49746,0.04718252898355352,"2025-06-18",5024,6541,0.3808286194771442,239.49977067726647,0.6887966804979253,0.7307692307692307,0.025378382510319524,28109,0.03684451918666871,9.972133757961783,13.407735820210977,2.407561803241187,27.76331866696219,18.21858864027539,12.045213705404462,51.38892047023358,76.97534597459888,28.058473892706864
"2025-09-18",5356,7027,0.42649779422228545,244.71979507613491,0.65625,0.7452229299363057,0.017930838195531523,41616,0.02732318201223851,"2025-06-19",5253,6786,0.3881520778072502,235.32493368700264,0.6666666666666666,0.6862745098039216,0.016799292661361626,29799,0.025198938992042442,1.9607843137254901,3.551429413498379,9.879044479591089,3.99229322704412,-1.5624999999999944,8.58962693357597,6.735673679716598,39.65569314406524,8.429890722251765
"2025-09-19",8957,10654,0.33180026281208935,199.5532194480946,0.7329545454545454,0.7371794871794872,0.012108128402477943,51030,0.016519617045241224,"2025-06-20",5318,6839,0.3678900424038602,249.95101623044306,0.689119170984456,0.7195121951219512,0.019447287615148412,30346,0.028220500073110104,68.42798044377585,55.78300921187308,-9.809936511451543,-20.163069365512825,6.36107313738892,2.4554541503694147,-37.738729214626574,68.16054834245041,-41.462351827769574
"2025-09-20",4999,6720,0.3587797619047619,301.50223214285717,0.7706422018348624,0.7823834196891192,0.025,44484,0.03244047619047619,"2025-06-21",4945,6315,0.39398258115597784,218.04212193190816,0.6818181818181818,0.6946564885496184,0.0166270783847981,25420,0.024386381631037214,1.0920121334681496,6.4133016627078385,-8.935120722324301,38.27705833692655,13.02752293577983,12.628821955246817,50.35714285714287,74.99606608969316,33.02701762523191
"2025-09-21",4890,6317,0.39243311698591105,249.08548361564033,0.7023809523809523,0.7448275862068966,0.018679753047332593,36791,0.026594902643659966,"2025-06-22",8129,9702,0.5576169861884147,183.12059369202225,0.6106194690265486,0.65,0.01422387136672851,34620,0.02329416615130901,-39.8449993849182,-34.88971346114203,-29.62317743073366,36.02264966143558,15.027605244996549,14.588859416445628,31.32678555450784,6.270941652224148,14.16979887114557
"2025-09-22",4685,6176,0.41871761658031087,251.42746113989637,0.5903614457831325,0.648854961832061,0.015867875647668395,36568,0.02687823834196891,"2025-06-23",8831,10458,0.5773570472365653,172.63673742589404,0.6684491978609626,0.6818181818181818,0.011952572193536048,35383,0.01788104800152993,-46.9482504812592,-40.94473130617709,-27.476832822178025,45.63960422840126,-11.681927710843372,-4.834605597964374,32.75699481865287,3.3490659356188,50.31690726219832
"2025-09-23",5763,7558,0.4068536649907383,242.62873776131252,0.655367231638418,0.7058823529411765,0.015347975654935168,41785,0.023418893887271766,"2025-06-24",5178,6975,0.3664516129032258,257.93863799283156,0.6336206896551724,0.6666666666666666,0.021075268817204302,32189,0.03326164874551971,11.297798377752027,8.3584229390681,11.025207875993717,-5.935481535707154,3.432107306199315,5.882352941176483,-27.17542163729742,29.811426263630434,-29.591903075982515
"2025-09-24",5786,7502,0.393761663556385,235.01839509464142,0.6755555555555556,0.6984924623115578,0.020261263663023193,40024,0.029992002132764595,"2025-06-25",4868,6520,0.38742331288343557,248.15674846625768,0.6578947368421053,0.6790123456790124,0.019171779141104295,29484,0.029141104294478526,18.85784716516023,15.061349693251534,1.636027172906974,-5.294376821431761,2.6844444444444404,2.8688899040657847,5.682751266328975,35.748202414869084,2.919923108223773
"2025-09-25",5449,7033,0.41347931181572584,242.79240722309115,0.6385542168674698,0.7244094488188977,0.015071804350917106,44547,0.023603014360870183,"2025-06-26",5861,7740,0.3945736434108527,254.4405684754522,0.6989795918367347,0.7183908045977011,0.017700258397932815,34293,0.025322997416020673,-7.029517147244498,-9.1343669250646,4.7914169434747205,-4.57794970438641,-8.644798170785347,0.8377952755905638,-14.849806075840581,29.901146006473624,-6.79217798309428
"2025-09-26",8721,10397,0.31441762046744254,187.07175146676926,0.6363636363636364,0.6585365853658537,0.00942579590266423,57934,0.014811964989900932,"2025-06-27",5641,7453,0.37058902455387094,257.90379712867303,0.6986301369863014,0.7315789473684211,0.020528646182745202,33745,0.029384140614517645,54.60024818294629,39.500872132027375,-15.157330726145938,-27.46452221739269,-8.912655971479504,-9.984207755746626,-54.08466871728332,71.68173062675952,-49.591974854003816
